"state_name","YEAR","STATE","RATE","DEATHS","avg_pm10","avg_pm25","avg_no2"
"Alabama",2014,"AL",53.6,3050,17,9.4,NA
"Alabama",2015,"AL",56.4,3279,17,8.7,NA
"Alabama",2016,"AL",56.2,3326,16.5,7.7,NA
"Alabama",2017,"AL",57.8,3484,14.5,8.3,NA
"Alabama",2018,"AL",58,3596,16,7.7,NA
"Alabama",2019,"AL",55.6,3530,17.5,8.1,NA
"Alabama",2020,"AL",52.9,3431,16.5,7.77777777777778,NA
"Alabama",2021,"AL",50.9,3282,16.5,8.11111111111111,NA
"Alaska",2014,"AK",38.8,192,20.5,8.33333333333333,NA
"Alaska",2015,"AK",37.8,204,19,8.66666666666667,NA
"Alaska",2016,"AK",41.5,238,18,7,NA
"Alaska",2017,"AK",35.9,204,13.5,7,NA
"Alaska",2018,"AK",35.3,222,13,6.66666666666667,NA
"Alaska",2019,"AK",30.4,202,16.5,8,NA
"Alaska",2020,"AK",31,205,12.5,5.66666666666667,NA
"Alaska",2021,"AK",35,237,12.5,6,NA
"Arizona",2014,"AZ",42.2,3396,29.25,7.4,24.5
"Arizona",2015,"AZ",43.8,3681,23.25,6.4,21
"Arizona",2016,"AZ",43.5,3800,27.75,7.2,20
"Arizona",2017,"AZ",42.7,3802,27.5,7.6,21.5
"Arizona",2018,"AZ",41.2,3832,26.375,7.2,21
"Arizona",2019,"AZ",38.1,3685,21.75,6.4,18.5
"Arizona",2020,"AZ",36.6,3696,27.125,8,19
"Arizona",2021,"AZ",36.7,3518,28,8.5,19
"Arkansas",2014,"AR",58.9,2092,18,9.2,14
"Arkansas",2015,"AR",62.4,2270,19,8.6,13
"Arkansas",2016,"AR",59.1,2169,18,8.8,12.5
"Arkansas",2017,"AR",66.7,2517,17,8.4,12
"Arkansas",2018,"AR",61.7,2385,18,8.6,12
"Arkansas",2019,"AR",60.2,2364,17,8.8,12.5
"Arkansas",2020,"AR",60.4,2415,15,7.8,10.5
"Arkansas",2021,"AR",61.5,2375,16,8.8,11.5
"California",2014,"CA",32,12780,23.1739130434783,9.64,15.5652173913043
"California",2015,"CA",33.1,13621,23.695652173913,9.62962962962963,14.7826086956522
"California",2016,"CA",32.6,13710,22.6086956521739,8.81481481481481,13.8636363636364
"California",2017,"CA",32.2,13881,25.8260869565217,10,14.4347826086957
"California",2018,"CA",30.9,13634,26.2608695652174,11.3703703703704,14.7391304347826
"California",2019,"CA",29,13096,21.8695652173913,8.03703703703704,13.1304347826087
"California",2020,"CA",28.1,12907,31.2272727272727,12.5555555555556,13.1739130434783
"California",2021,"CA",26.1,11562,25.7727272727273,10.4615384615385,11.9565217391304
"Colorado",2014,"CO",47.2,2451,19.5,6.25,22.5
"Colorado",2015,"CO",47.8,2577,16.875,5.75,21.5
"Colorado",2016,"CO",46.4,2575,18.125,6.25,20.5
"Colorado",2017,"CO",45.6,2604,18.25,6.375,19.5
"Colorado",2018,"CO",44,2636,19,7.875,19.5
"Colorado",2019,"CO",40.8,2516,17.375,5.75,20
"Colorado",2020,"CO",39.3,2490,20.1428571428571,7,17.5
"Colorado",2021,"CO",37.5,2306,21.5714285714286,7.25,17.5
"Connecticut",2014,"CT",30.2,1368,12,7.25,20
"Connecticut",2015,"CT",29.7,1369,13.5,7.25,22
"Connecticut",2016,"CT",30.5,1425,11.5,7,21.5
"Connecticut",2017,"CT",30.4,1471,10.5,5.75,20.5
"Connecticut",2018,"CT",28.9,1427,11,6.75,19
"Connecticut",2019,"CT",27.8,1399,10,7,18
"Connecticut",2020,"CT",24.4,1236,12,7,18
"Connecticut",2021,"CT",23.8,1169,12,7.5,18
"Delaware",2014,"DE",40.2,458,NA,8,NA
"Delaware",2015,"DE",42.5,510,NA,8,NA
"Delaware",2016,"DE",43.7,544,NA,7,NA
"Delaware",2017,"DE",40.7,526,NA,7,NA
"Delaware",2018,"DE",40.4,532,NA,6,NA
"Delaware",2019,"DE",35.2,474,NA,7,NA
"Delaware",2020,"DE",32.7,468,NA,7,NA
"Delaware",2021,"DE",36.1,502,NA,NA,NA
"Florida",2014,"FL",38,11178,15.1111111111111,6.90909090909091,11.5
"Florida",2015,"FL",38.4,11705,15.4444444444444,6.36363636363636,9.5
"Florida",2016,"FL",38,11970,15.125,6.36363636363636,10
"Florida",2017,"FL",39,12619,16.7777777777778,7.36363636363636,10
"Florida",2018,"FL",37,12362,15.8888888888889,7,9.5
"Florida",2019,"FL",35,12014,17,7.36363636363636,9
"Florida",2020,"FL",33.4,11791,17.8888888888889,7.81818181818182,8
"Florida",2021,"FL",32,10939,18,7.72727272727273,8.75
"Georgia",2014,"GA",45.6,4332,18,9.6,20
